"","POSTED_SPEED_LIMIT","STREET_NAME","LATITUDE","LONGITUDE","Type","regions","distances"
"289",35,"LAKEWOOD AVE",41.929543372,-87.660915208,"crash","091","0.8"
"290",30,"SOUTHPORT AVE",41.943461566,-87.664065591,"crash","172","0.7"
"291",20,"BYRON ST",41.952408202,-87.66530745,"crash","095","0.7"
"292",30,"LA SALLE ST",41.883764598,-87.632275354,"crash","034","1.2"
"293",20,"ALBANY AVE",41.786379507,-87.700767372,"crash","164","0.7"
"294",30,"OHIO ST",41.892664206,-87.624254378,"crash","125","0.5"
"295",30,"COLUMBUS DR",41.867387914,-87.620491034,"crash","033","1"
"296",30,"99TH ST",41.714182472,-87.653945748,"crash","023","2.8"
"297",30,"WOOD ST",41.850370284,-87.671026998,"crash","143","0.9"
"298",30,"COTTAGE GROVE AVE",41.811261436,-87.606749972,"crash","013","1.4"
"299",30,"STATE ST",41.736358013,-87.624015058,"crash","036","1.6"
"300",30,"56TH ST",41.793284216,-87.586531638,"crash","013","2.2"
"301",45,"LAKE SHORE DR SB",41.810592499,-87.589371112,"crash","013","2.3"
"302",30,"OGDEN AVE",41.863253935,-87.690610202,"crash","021","0.9"
"303",30,"WENTWORTH AVE",41.678341898,-87.627620673,"crash","045","1.8"
"304",10,"NEWCASTLE AVE",41.939189544,-87.797096567,"crash","106","0.8"
"305",25,"WESTERN AVE",42.019020641,-87.690326949,"crash","051","2"
"306",30,"KOLIN AVE",41.791569451,-87.731839582,"crash","061","0.7"
"307",30,"GRAND AVE",41.89168984,-87.620444135,"crash","126","0.1"
"308",30,"87TH ST",41.736191518,-87.624078067,"crash","036","1.6"
"309",30,"MADISON ST",41.881930871,-87.644056611,"crash","034","2"
"310",30,"CHICAGO AVE",41.896258494,-87.662466661,"crash","075","1.3"
"311",30,"ARCHER AVE",41.797682849,-87.750312092,"crash","061","2.8"
"312",35,"95TH ST",41.721792811,-87.623700276,"crash","035","0.2"
"313",30,"COTTAGE GROVE AVE",41.751883983,-87.605366868,"crash","063","3"
"314",15,"BELL AVE",41.998392877,-87.686097407,"crash","051","0.4"
"315",30,"111TH ST",41.691382054,-87.705795425,"crash","048","1.2"
"316",30,"FOSTER AVE",41.975642291,-87.72818938,"crash","004","0.1"
"317",30,"HARLEM AVE",41.952479279,-87.807110848,"crash","176","2.3"
"318",25,"NEWPORT AVE",41.943424461,-87.711958803,"crash","088","1.2"
"319",15,"WELLINGTON AVE",41.935948957,-87.667807439,"crash","171","0.2"
"320",30,"FOSTER AVE",41.975384609,-87.806948983,"crash","158","1.9"
"321",30,"MILWAUKEE AVE",41.976748839,-87.768483753,"crash","102","0.9"
"322",30,"ARMITAGE AVE",41.917783655,-87.68172455,"crash","090","1.5"
"323",15,"BERNARD ST",41.985409399,-87.714903441,"crash","024","0.9"
"324",40,"LAKE SHORE DR E",41.860257241,-87.617710633,"crash","033","1.8"
"325",30,"BYRON ST",41.952221332,-87.678761883,"crash","026","1.2"
"326",30,"CHICAGO AVE",41.895036069,-87.756122363,"crash","058","2.5"
"327",30,"PEORIA ST",41.885681709,-87.649957049,"crash","077","1.5"
